,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-99.68,99.68,0.00,5.39,—
Bonds,7.49,0.00,7.49,12.48,—
Other,0.01,0.00,0.01,19.44,—
Cash,192.19,4.57,196.75,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
