,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,2.05,1.52
Fund (NAV),—,—,—,—,—,—,—,—,—,2.02,1.52
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-0.88,-0.56
+/- Index (Price),—,—,—,—,—,—,—,—,—,-2.22,-2.67
Percentile Rank,—,—,—,—,—,—,—,—,—,96,90
# of Funds in Category,—,—,—,—,—,—,—,—,66,87,114
