,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,96.37,0.00,96.37,72.86,—
Other,0.02,0.00,0.02,0.04,—
Cash,3.62,0.11,3.72,40.33,—
Not Classified,0.00,0.00,0.00,0.00,—
