,Values
NAV,"52,431.36"
Open Price,"52,435.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"149.0 / 16,962.8"
Day Range,"52,430.00 – 52,440.00"
Year Range,"51,290.00 – 52,440.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.150%
Total Assets,24.1 Bil
