,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,15.19,25.72,-16.02,-2.92
Fund (NAV),—,—,—,—,—,—,—,15.78,25.77,-16.03,-1.77
+/ Category (NAV),—,—,—,—,—,—,—,15.10,3.29,0.65,3.00
+/- Index (Price),—,—,—,—,—,—,—,1.37,-6.52,1.61,-3.59
Percentile Rank,—,—,—,—,—,—,—,1,31,32,12
# of Funds in Category,—,—,—,—,—,—,"2,103","2,012","2,058","2,015","2,325"
