,Values
NAV,"7,520.89"
Open Price,"7,475.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,957.0 / 37,087.7"
Day Range,"7,475.00 – 7,560.00"
Year Range,"7,445.00 – 8,800.00"
SEC Yield ,—
12-Month Yield ,1.90%
Premium ,—
Expense Ratio,0.350%
Total Assets,46.6 Bil
