,Fund,Cat. Average,Index
Price/Earnings ,7.82,11.02,12.13
Price/Book ,0.71,0.84,0.86
Price/Sales ,0.49,0.53,0.65
Price/Cash Flow ,2.98,3.46,3.66
Dividend Yield % ,3.35,3.08,3.48
Long-Term Earnings % ,12.90,10.07,3.69
Historical Earnings % ,11.59,15.26,14.88
Sales Growth % ,2.78,11.25,4.89
Cash-Flow Growth % ,9.35,16.83,15.05
Book-Value Growth % ,6.27,10.86,8.56
