Sectors,Fund %,Category %
Basic Materials,8.70,8.70
Consumer Cyclical,14.20,13.65
Financial Services,13.84,11.56
Real Estate,0.00,0.29
Communication Services,2.69,2.34
Energy,2.00,1.96
Industrials,6.98,10.46
Technology,44.58,38.20
Consumer Defensive,3.81,6.64
Healthcare,0.82,4.97
Utilities,2.38,1.23
