,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,80.18,0.00,80.18,29.68,—
Other,0.00,0.00,0.00,0.01,—
Cash,19.82,12.79,32.61,73.37,—
Not Classified,0.00,0.00,0.00,0.00,—
