,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,3.16,3.37,2.55,2.53,1.79,1.35,1.31,1.71,1.28
Fund (NAV),—,—,3.28,3.48,2.63,2.58,1.81,1.37,1.32,1.73,1.26
+/ Category (NAV),—,—,0.23,0.44,0.20,0.32,0.28,0.14,0.07,0.12,0.08
+/- Index (Price),—,—,-0.52,-0.33,-0.54,-0.35,-0.34,-0.50,-0.45,-0.27,-0.06
Percentile Rank,—,—,20,1,24,8,12,31,40,27,7
# of Funds in Category,—,202,160,150,156,179,201,203,226,269,305
