,Values
NAV,"102,031.70"
Open Price,"102,025.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,276.0 / 210,711.0"
Day Range,"102,025.00 – 102,045.00"
Year Range,"100,750.00 – 102,345.00"
SEC Yield ,—
12-Month Yield ,1.57%
Premium ,—
Expense Ratio,0.180%
Total Assets,42.1 Bil
