,Fund,Cat. Average,Index
Price/Earnings ,3.17,11.87,—
Price/Book ,0.91,1.05,—
Price/Sales ,0.43,0.73,—
Price/Cash Flow ,2.64,3.83,—
Dividend Yield % ,2.42,2.61,—
Long-Term Earnings % ,39.11,7.31,—
Historical Earnings % ,48.25,8.40,—
Sales Growth % ,9.23,8.94,—
Cash-Flow Growth % ,26.85,7.00,—
Book-Value Growth % ,10.98,9.61,—
