,Values
NAV,"20,621.30"
Open Price,"20,500.00"
Bid / Ask / Spread,"20,620.00 / 22,645.00 / 9.36%"
Volume / Avg,"7,233.0 / 9,838.2"
Day Range,"20,410.00 – 20,830.00"
Year Range,"7,115.00 – 27,530.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.720%
Total Assets,20.6 Bil
