,Fund,Cat. Average,Index
Price/Earnings ,3.83,11.02,12.13
Price/Book ,0.78,0.84,0.86
Price/Sales ,0.25,0.53,0.65
Price/Cash Flow ,3.39,3.46,3.66
Dividend Yield % ,2.19,3.08,3.48
Long-Term Earnings % ,23.61,10.07,3.69
Historical Earnings % ,49.81,15.26,14.88
Sales Growth % ,1.93,11.25,4.89
Cash-Flow Growth % ,4.42,16.83,15.05
Book-Value Growth % ,4.00,10.86,8.56
