,Values
NAV,"8,858.11"
Open Price,"8,805.00"
Bid / Ask / Spread,"8,825.00 / 8,860.00 / 0.40%"
Volume / Avg,"28.0 / 22,912.9"
Day Range,"8,805.00 – 8,840.00"
Year Range,"8,350.00 – 11,000.00"
SEC Yield ,—
12-Month Yield ,1.36%
Premium ,—
Expense Ratio,0.500%
Total Assets,10.6 Bil
