,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,98.63,0.00,98.63,95.78,99.99
Bonds,0.00,0.00,0.00,0.20,0.00
Other,0.00,0.00,0.00,0.80,0.00
Cash,1.35,1.24,2.58,3.21,0.00
Not Classified,0.02,0.00,0.02,1.64,0.01
