,Values
NAV,"10,315.53"
Open Price,"10,295.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,42.0 / 318.9
Day Range,"10,265.00 – 10,350.00"
Year Range,"9,225.00 – 11,795.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.460%
Total Assets,2.9 Bil
