,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,4.19
Fund (NAV),—,—,—,—,—,—,—,—,—,—,4.40
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,-11.44
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-16.38
Percentile Rank,—,—,—,—,—,—,—,—,—,—,—
# of Funds in Category,—,—,—,—,—,—,—,—,—,—,—
