,Values
NAV,"9,130.43"
Open Price,"9,195.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"11,298.0 / 58,472.3"
Day Range,"9,115.00 – 9,195.00"
Year Range,"8,990.00 – 11,300.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.500%
Total Assets,21.9 Bil
