,Values
NAV,"9,242.11"
Open Price,"9,240.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,637.0 / 263.8
Day Range,"9,220.00 – 9,245.00"
Year Range,"9,200.00 – 10,455.00"
SEC Yield ,—
12-Month Yield ,0.19%
Premium ,—
Expense Ratio,0.460%
Total Assets,6.5 Bil
