,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-11.37
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-10.71
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,-5.85
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-11.87
Percentile Rank,—,—,—,—,—,—,—,—,—,—,92
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015","2,284"
