,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,-6.78,12.32,4.96,-0.90,5.82
Fund (NAV),—,—,—,—,—,—,-4.37,12.50,4.75,-0.93,6.34
+/ Category (NAV),—,—,—,—,—,—,-2.26,0.06,-0.38,3.58,-1.76
+/- Index (Price),—,—,—,—,—,—,-8.20,-2.85,-4.37,3.71,-2.82
Percentile Rank,—,—,—,—,—,—,82,61,68,9,89
# of Funds in Category,—,—,—,—,—,100,151,120,118,118,131
