,Values
NAV,"11,691.81"
Open Price,"11,635.00"
Bid / Ask / Spread,"0.00 / 12,800.00 / 0.00%"
Volume / Avg,"1,273.0 / 5,429.5"
Day Range,"11,630.00 – 11,680.00"
Year Range,"10,905.00 – 11,840.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.290%
Total Assets,26.9 Bil
