,Fund,Category,Index
U.S.Stock,0.00,0.46,0.00
Non-U.S.Stock,0.00,0.26,0.00
Bonds,0.00,95.34,99.85
Other,100.00,3.35,0.00
Cash,0.00,141.52,0.00
Not Classified,0.00,5.40,0.15
