,Fund,Cat. Average,Index
Price/Earnings ,17.92,20.30,17.09
Price/Book ,3.67,2.56,3.38
Price/Sales ,3.28,2.04,1.97
Price/Cash Flow ,28.71,11.25,13.35
Dividend Yield % ,0.29,0.89,1.91
Long-Term Earnings % ,22.02,10.45,9.35
Historical Earnings % ,8.93,15.68,13.99
Sales Growth % ,8.13,9.13,5.37
Cash-Flow Growth % ,-8.84,2.14,-2.79
Book-Value Growth % ,6.96,7.67,3.73
