,Values
NAV,"7,123.46"
Open Price,"7,155.00"
Bid / Ask / Spread,"7,100.00 / 7,490.00 / 5.35%"
Volume / Avg,"31,196.0 / 31,088.4"
Day Range,"7,080.00 – 7,155.00"
Year Range,"6,510.00 – 13,715.00"
SEC Yield ,—
12-Month Yield ,0.25%
Premium ,—
Expense Ratio,0.500%
Total Assets,14.8 Bil
