Sectors,Fund %,Category %
Basic Materials,19.38,8.70
Consumer Cyclical,32.50,13.65
Financial Services,6.52,11.56
Real Estate,0.00,0.29
Communication Services,4.94,2.34
Energy,2.26,1.96
Industrials,23.18,10.46
Technology,3.85,38.20
Consumer Defensive,5.70,6.64
Healthcare,0.00,4.97
Utilities,1.68,1.23
