,Values
NAV,"9,798.96"
Open Price,"9,745.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"10,730.0 / 36,297.5"
Day Range,"9,740.00 – 9,810.00"
Year Range,"9,625.00 – 13,820.00"
SEC Yield ,—
12-Month Yield ,2.45%
Premium ,—
Expense Ratio,0.460%
Total Assets,34.1 Bil
