,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-16.42,-11.98
Fund (NAV),—,—,—,—,—,—,—,—,—,-16.41,-12.06
+/ Category (NAV),—,—,—,—,—,—,—,—,—,0.26,-8.64
+/- Index (Price),—,—,—,—,—,—,—,—,—,1.21,-12.64
Percentile Rank,—,—,—,—,—,—,—,—,—,36,—
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015",41
