,Values
NAV,"7,660.29"
Open Price,"7,705.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"51.0 / 2,635.5"
Day Range,"7,645.00 – 7,735.00"
Year Range,"7,645.00 – 9,805.00"
SEC Yield ,—
12-Month Yield ,0.94%
Premium ,—
Expense Ratio,0.260%
Total Assets,4.1 Bil
