,Values
NAV,"57,906.99"
Open Price,"58,220.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"533.0 / 6,680.1"
Day Range,"58,185.00 – 58,295.00"
Year Range,"51,635.00 – 58,295.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.100%
Total Assets,40.0 Bil
