,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.54,-1.43,-7.17,-8.19,-6.29,-10.14,—,—,—,—,—
Total Return % (NAV),0.12,0.55,-6.85,-7.89,-5.38,-9.91,—,—,—,—,-7.73
+/- Category (NAV),-0.64,-0.93,0.25,-1.11,-0.51,2.98,—,—,—,—,—
+/- Index (NAV),0.12,-0.70,-0.65,-4.18,-5.88,-0.12,—,—,—,—,—
