,Values
NAV,"8,358.49"
Open Price,"8,370.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"50.0 / 19,559.2"
Day Range,"8,325.00 – 8,380.00"
Year Range,"8,170.00 – 9,945.00"
SEC Yield ,—
12-Month Yield ,1.77%
Premium ,—
Expense Ratio,0.340%
Total Assets,12.5 Bil
