,Fund,Cat. Average,Index
Price/Earnings ,11.30,11.02,12.13
Price/Book ,1.10,0.84,0.86
Price/Sales ,0.56,0.53,0.65
Price/Cash Flow ,5.06,3.46,3.66
Dividend Yield % ,2.44,3.08,3.48
Long-Term Earnings % ,12.05,10.07,3.69
Historical Earnings % ,11.83,15.26,14.88
Sales Growth % ,5.03,11.25,4.89
Cash-Flow Growth % ,-3.07,16.83,15.05
Book-Value Growth % ,6.52,10.86,8.56
