,Values
NAV,"5,005.24"
Open Price,"5,025.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,829.0 / 834.0
Day Range,"4,930.00 – 5,025.00"
Year Range,"4,880.00 – 5,760.00"
SEC Yield ,—
12-Month Yield ,1.64%
Premium ,—
Expense Ratio,0.440%
Total Assets,12.0 Bil
