,Values
Sustainability Rate,High
Percent Rank in Global Category,3%
Historical Sustainability Score,44.02
Global Category,Korea Equity
Portfolio ESG,52.38
Controversy Deduction,7.78
Sustainability Score,44.60
Sustainability Mandate,No
