,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),74.81,30.57,-8.41,8.40,-0.45,-7.78,-3.80,4.49,29.51,-14.62,-0.78
Fund (NAV),75.01,30.55,-9.04,8.61,0.01,-7.96,-3.17,3.86,29.90,-14.78,-0.79
+/ Category (NAV),19.62,7.60,1.67,1.63,-1.10,-2.88,-7.19,3.17,7.42,1.89,4.78
+/- Index (Price),14.54,8.35,0.17,-5.93,-2.97,-0.62,-0.98,-9.33,-2.72,3.01,-0.35
Percentile Rank,1,8,29,41,61,68,87,37,7,22,5
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,325"
