,Values
NAV,"8,412.92"
Open Price,"8,405.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,144.0 / 6,653.5"
Day Range,"8,380.00 – 8,455.00"
Year Range,"7,860.00 – 14,405.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.240%
Total Assets,1.7 Bil
