,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-5.58
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-4.18
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,-6.24
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,50
Percentile Rank,—,—,—,—,—,—,—,—,—,"2,015","2,325"
# of Funds in Category,,,,,,,,,,,
