,Values
NAV,"11,645.20"
Open Price,"11,530.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,99.0 / 694.2
Day Range,"11,495.00 – 11,570.00"
Year Range,"11,380.00 – 14,130.00"
SEC Yield ,—
12-Month Yield ,2.30%
Premium ,—
Expense Ratio,0.140%
Total Assets,29.1 Bil
