Sectors,Fund %,Category %
Basic Materials,7.26,8.70
Consumer Cyclical,11.01,13.65
Financial Services,11.48,11.56
Real Estate,0.04,0.29
Communication Services,2.51,2.34
Energy,1.72,1.96
Industrials,9.26,10.46
Technology,41.94,38.20
Consumer Defensive,6.01,6.64
Healthcare,7.58,4.97
Utilities,1.18,1.23
