,Values
Sustainability Rate,Above Average
Percent Rank in Global Category,32%
Historical Sustainability Score,42.14
Global Category,Korea Equity
Portfolio ESG,49.82
Controversy Deduction,7.39
Sustainability Score,42.43
Sustainability Mandate,No
