,Values
NAV,"12,408.00"
Open Price,"12,335.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"21,785.0 / 3,538.0"
Day Range,"12,230.00 – 12,335.00"
Year Range,"12,230.00 – 14,415.00"
SEC Yield ,—
12-Month Yield ,3.48%
Premium ,—
Expense Ratio,0.340%
Total Assets,7.4 Bil
