,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,90.62,0.00,90.62,95.78,99.99
Bonds,0.00,0.00,0.00,0.20,0.00
Other,0.00,0.00,0.00,0.80,0.00
Cash,0.36,2.96,3.33,3.21,0.00
Not Classified,9.01,0.00,9.01,1.64,0.01
