,Values
NAV,"8,734.63"
Open Price,"8,730.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,106.0 / 182.4
Day Range,"8,720.00 – 8,730.00"
Year Range,"8,690.00 – 10,670.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.730%
Total Assets,5.2 Bil
