,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.86,0.35,-7.69,-7.21,-4.90,-12.31,—,—,—,—,—
Total Return % (NAV),0.20,-0.52,-6.92,-7.57,-4.20,-12.80,—,—,—,—,-13.18
+/- Category (NAV),0.15,-0.35,0.11,0.39,0.57,0.94,—,—,—,—,—
+/- Index (NAV),-0.11,0.11,-0.97,-3.10,-4.86,-2.40,—,—,—,—,—
