,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-5.35
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-4.55
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,0.22
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-6.02
Percentile Rank,—,—,—,—,—,—,—,—,—,—,54
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015","2,325"
