,Values
NAV,"8,028.13"
Open Price,"8,030.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"72.0 / 1,031.4"
Day Range,"8,030.00 – 8,050.00"
Year Range,"6,805.00 – 10,005.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.370%
Total Assets,6.0 Bil
