,Values
NAV,"9,851.20"
Open Price,"9,835.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"22,617.0 / 12,945.0"
Day Range,"9,780.00 – 9,835.00"
Year Range,"9,740.00 – 11,410.00"
SEC Yield ,—
12-Month Yield ,2.32%
Premium ,—
Expense Ratio,0.270%
Total Assets,10.8 Bil
