,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-17.35,-0.88
Fund (NAV),—,—,—,—,—,—,—,—,—,-17.42,-0.24
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-0.74,4.63
+/- Index (Price),—,—,—,—,—,—,—,—,—,0.28,-1.38
Percentile Rank,—,—,—,—,—,—,—,—,—,52,5
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,284"
