,Fund,Cat. Average,Index
Price/Earnings ,7.16,11.02,12.13
Price/Book ,0.78,0.84,0.86
Price/Sales ,0.42,0.53,0.65
Price/Cash Flow ,2.96,3.46,3.66
Dividend Yield % ,3.27,3.08,3.48
Long-Term Earnings % ,13.41,10.07,3.69
Historical Earnings % ,14.32,15.26,14.88
Sales Growth % ,6.50,11.25,4.89
Cash-Flow Growth % ,6.82,16.83,15.05
Book-Value Growth % ,8.00,10.86,8.56
