,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.41,-0.56,-7.29,-4.32,-2.88,-10.08,1.56,0.88,3.75,—,—
Total Return % (NAV),0.80,1.11,-6.47,-4.82,-2.30,-10.37,1.76,1.00,3.79,—,7.07
+/- Category (NAV),0.03,-0.37,0.63,1.96,2.57,2.52,2.80,1.98,1.57,—,—
+/- Index (NAV),0.80,-0.14,-0.27,-1.10,-2.79,-0.58,-2.61,-1.41,-1.13,—,—
