,Values
NAV,"25,763.69"
Open Price,"25,575.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,50.0 / 617.5
Day Range,"25,490.00 – 25,605.00"
Year Range,"25,345.00 – 30,540.00"
SEC Yield ,—
12-Month Yield ,2.49%
Premium ,—
Expense Ratio,0.330%
Total Assets,19.3 Bil
