Sectors,Fund %,Category %
Basic Materials,7.57,8.70
Consumer Cyclical,10.31,13.65
Financial Services,11.58,11.56
Real Estate,0.00,0.29
Communication Services,2.80,2.34
Energy,1.83,1.96
Industrials,9.26,10.46
Technology,44.13,38.20
Consumer Defensive,6.35,6.64
Healthcare,4.87,4.97
Utilities,1.29,1.23
