,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,24.21,-11.32,13.48,0.90,-6.51,0.81,9.57,26.67,-17.53,-2.88
Fund (NAV),—,23.73,-10.60,11.99,1.76,-6.49,0.76,9.69,26.75,-17.47,-2.30
+/ Category (NAV),—,0.78,0.11,5.01,0.66,-1.41,-3.26,9.00,4.27,-0.79,2.57
+/- Index (Price),—,1.99,-2.75,-0.85,-1.62,0.65,3.63,-4.25,-5.56,0.11,-3.38
Percentile Rank,—,38,42,11,38,51,58,7,21,53,17
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
