,Values
NAV,"10,661.45"
Open Price,"10,600.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,20.0 / 762.9
Day Range,"10,580.00 – 10,600.00"
Year Range,"9,075.00 – 11,670.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.450%
Total Assets,10.7 Bil
