,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,2.93,0.54,14.11
Fund (NAV),—,—,—,—,—,—,—,—,4.34,-0.63,15.84
+/ Category (NAV),—,—,—,—,—,—,—,—,-20.92,5.68,19.81
+/- Index (Price),—,—,—,—,—,—,—,—,-18.47,-0.76,5.93
Percentile Rank,—,—,—,—,—,—,—,—,96,16,22
# of Funds in Category,—,—,—,—,—,—,—,80,93,100,118
