,Values
NAV,"2,668.48"
Open Price,"2,740.00"
Bid / Ask / Spread,"2,650.00 / 2,700.00 / 1.87%"
Volume / Avg,"43,577.0 / 48,364.9"
Day Range,"2,660.00 – 2,740.00"
Year Range,"2,630.00 – 4,575.00"
SEC Yield ,—
12-Month Yield ,0.66%
Premium ,—
Expense Ratio,0.550%
Total Assets,7.4 Bil
