,Fund,Cat. Average,Index
Price/Earnings ,19.91,13.31,—
Price/Book ,1.91,0.99,—
Price/Sales ,1.24,0.52,—
Price/Cash Flow ,12.74,3.85,—
Dividend Yield % ,0.56,2.16,—
Long-Term Earnings % ,29.24,15.19,—
Historical Earnings % ,-2.68,35.81,—
Sales Growth % ,8.88,2.99,—
Cash-Flow Growth % ,9.31,2.81,—
Book-Value Growth % ,12.84,1.55,—
