,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.68,—
Bonds,37.46,0.00,37.46,41.45,—
Other,100.72,0.00,100.72,73.73,—
Cash,-38.18,109.37,71.19,156.77,—
Not Classified,0.00,0.00,0.00,0.09,—
