,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.81,4.03,7.98,17.90,17.27,23.06,2.17,1.60,—,—,—
Total Return % (NAV),-0.08,3.55,6.35,15.89,15.34,20.67,1.43,1.17,—,—,0.85
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
