,Values
NAV,"10,821.78"
Open Price,"10,815.00"
Bid / Ask / Spread,"10,790.00 / 10,815.00 / 0.23%"
Volume / Avg,"684,033.0 / 170,016.9"
Day Range,"10,750.00 – 10,815.00"
Year Range,"8,525.00 – 10,965.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.750%
Total Assets,105.0 Bil
