,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.84,0.15,-4.67,-4.77,11.31,-12.32,—,—,—,—,—
Total Return % (NAV),-1.32,-1.45,-3.02,-4.07,12.75,-11.82,—,—,—,—,0.09
+/- Category (NAV),-1.06,-1.01,-1.82,-5.86,-6.74,-15.23,—,—,—,—,—
+/- Index (NAV),-0.10,-2.86,1.19,-4.38,-3.91,-14.88,—,—,—,—,—
