,Values
NAV,"10,013.50"
Open Price,"9,760.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"57.0 / 3,415.0"
Day Range,"9,730.00 – 9,775.00"
Year Range,"8,370.00 – 11,725.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.600%
Total Assets,7.0 Bil
